EmployeeID,FirstName,LastName,Gender,BirthDate,HireDate,TerminationDate
HGY20240060,Berenice,Rastelli,M,1998-01-11,2020-08-23,
HGY20240061,Mirko,Leopardi,M,1998-06-24,2020-06-13,
HGY20240062,Dario,Civaschi,M,1981-08-02,2020-08-11,2024-09-30 00:00:00
HGY20240063,Giacomo,Malacarne,M,1993-12-26,2023-03-30,
HGY20240064,Elladio,Mercalli,F,1974-03-08,2023-01-14,
HGY20240065,Amedeo,Luzi,F,1986-06-02,2020-03-23,
HGY20240066,Ivan,Ariosto,F,1999-02-21,2023-03-15,2024-07-31 00:00:00
HGY20240067,Virgilio,Guidotti,M,1977-03-18,2022-10-22,
HGY20240068,Flavio,Malpighi,F,2002-08-24,2020-06-20,
HGY20240069,Ruggero,Campise,M,1972-03-22,2020-12-09,
HGY20240070,Camilla,Druso,M,1968-03-28,2023-12-02,
HGY20240071,Leone,Guglielmi,M,1972-01-21,2020-04-26,
HGY20240072,Graziano,Doglioni,F,1978-06-22,2022-03-04,
HGY20240073,Paola,Barbarigo,F,1991-06-15,2022-03-27,
HGY20240074,Fortunata,Monteverdi,F,1968-06-24,2020-12-27,
HGY20240075,Annetta,Pontecorvo,M,1999-12-28,2021-03-11,
HGY20240076,Rolando,Magnani,M,1967-07-09,2023-05-29,
HGY20240077,Livio,Guarneri,F,1988-04-29,2022-12-01,
HGY20240078,Salvi,Gibilisco,M,1977-02-05,2022-06-29,
HGY20240079,Gelsomina,Zanazzo,F,1988-06-16,2021-07-14,
HGY20240080,Lauretta,Casellati,F,1972-01-17,2021-08-29,
HGY20240081,Imelda,Lupo,F,1980-06-26,2022-07-01,
HGY20240082,Pellegrino,Casagrande,M,1973-04-22,2023-11-10,
HGY20240083,Caterina,Boccherini,F,1971-09-06,2022-01-09,
HGY20240084,Roberto,Metella,M,1989-06-27,2020-02-19,
HGY20240085,Zaira,Contrafatto,M,1998-02-15,2020-02-24,
HGY20240086,Gianluca,Morricone,F,1976-06-28,2021-04-25,
HGY20240087,Morena,Berrè,F,1988-09-11,2021-06-16,
HGY20240088,Lazzaro,Verri,F,1994-07-13,2023-09-02,
HGY20240089,Donatello,Morrocco,F,1970-05-03,2021-08-11,
HGY20240090,Antonino,Caffarelli,M,1974-11-21,2021-04-24,
HGY20240091,Giampaolo,Folliero,M,1982-01-12,2021-07-02,
HGY20240092,Gastone,Rossetti,F,1995-03-29,2020-01-30,
HGY20240093,Jolanda,Berrè,M,1990-06-03,2023-04-17,
HGY20240094,Eva,Scaduto,M,1980-05-18,2020-08-09,
HGY20240095,Fabia,Camuccini,M,1996-09-05,2022-04-29,
HGY20240096,Carmelo,Palmisano,M,1970-09-06,2020-06-27,
HGY20240097,Arturo,Visintini,M,1972-05-25,2023-12-07,
HGY20240098,Geronimo,Tarantino,F,1980-01-17,2021-06-20,
HGY20240099,Monica,Bragaglia,M,1989-02-01,2020-08-22,
HGY20240100,Antonio,Veneziano,F,1996-03-11,2023-07-24,
HGY20240101,Enzo,Piovani,F,1997-04-30,2021-11-03,
HGY20240102,Corrado,Morucci,F,1978-04-24,2023-05-14,
HGY20240103,Rosa,Bixio,F,1971-05-11,2021-03-08,
HGY20240104,Luchino,Raurica,M,1976-12-13,2023-01-26,
HGY20240105,Mercedes,Sollima,M,1998-02-08,2022-05-23,
HGY20240106,Rosario,Piovani,F,1986-08-20,2022-03-25,
HGY20240107,Ranieri,Papafava,F,1998-03-09,2023-03-09,
HGY20240108,Nedda,Piazzi,M,1987-03-20,2021-03-03,
HGY20240109,Melina,Iannuzzi,F,1975-10-13,2021-03-09,2024-08-31 00:00:00
HGY20240110,Lara,Pavone,F,1980-04-10,2022-02-08,
HGY20240111,Liberto,Bova,M,1976-07-27,2020-06-09,
HGY20240112,Biagio,Cimini,F,1988-09-29,2021-03-27,2024-08-30 00:00:00
HGY20240113,Pierangelo,Ruffini,M,1972-09-10,2022-10-29,
HGY20240114,Bianca,Maccanelli,F,1967-02-26,2023-09-12,
HGY20240115,Galasso,Granatelli,M,1975-11-11,2020-12-18,
HGY20240116,Patrizia,Tebaldi,M,1986-07-15,2023-06-30,
HGY20240117,Michelotto,Fuseli,F,1988-02-05,2022-06-06,
HGY20240118,Ruggiero,Catalano,M,1992-03-23,2021-04-08,
HGY20240119,Gianna,Callegari,M,1974-08-22,2021-07-11,
HGY20240120,Maurizio,Fallaci,F,1982-04-24,2021-09-29,
HGY20240121,Daria,Moneta,M,1997-05-26,2023-06-28,
HGY20240122,Alessio,Brancaccio,M,1983-02-18,2022-11-28,
HGY20240123,Ronaldo,Palazzo,F,1981-06-05,2020-11-10,
HGY20240124,Beppe,Buscetta,F,1999-12-02,2022-10-21,
HGY20240125,Giampaolo,Luzi,M,1978-03-19,2023-06-07,
HGY20240126,Ornella,Gaito,M,1976-11-20,2022-04-16,
HGY20240127,Antonia,Asprucci,F,1981-05-27,2020-02-09,
HGY20240128,Calcedonio,Gabba,F,1996-11-18,2021-02-27,
HGY20240129,Sante,Iannotti,M,1997-04-04,2023-03-07,
HGY20240130,Eugenia,Renault,M,1967-09-14,2022-04-07,
HGY20240131,Ruggero,Marenzio,M,1993-03-01,2021-05-18,
HGY20240132,Mario,Emanuelli,M,1971-04-21,2023-08-18,
HGY20240133,Umberto,Campanella,M,2000-01-27,2020-04-21,
HGY20240134,Caterina,Vezzali,F,1998-01-21,2022-11-27,
HGY20240135,Nanni,Lollobrigida,M,1970-02-19,2021-11-08,
HGY20240136,Aria,Goldoni,M,1978-08-20,2020-10-20,
HGY20240137,Raffaello,Barsanti,M,1972-04-04,2020-08-03,
HGY20240138,Ludovica,Balotelli,F,2003-04-27,2021-01-30,
HGY20240139,Viridiana,Gozzano,M,1994-08-25,2021-01-01,
HGY20240140,Gaetano,Iannuzzi,F,1996-12-22,2022-01-07,
HGY20240141,Paulina,Oscuro,F,1991-03-27,2024-08-01 00:00:00,
HGY20240142,Dino,Torlonia,M,1977-07-25,2024-06-01 00:00:00,
HGY20240143,Isabella,Piacentini,F,1982-12-21,2024-08-01 00:00:00,
HGY20240144,Giuliana,Lombardo,F,1984-10-30,2024-10-31 00:00:00,
HGY20240145,Tina,Ruggeri,M,1984-11-06,2024-09-30 00:00:00,
HGY20240146,Rembrandt,Casadei,M,1988-02-12,2024-10-30 00:00:00,
